detector,window_seconds,case,family,expected,highest_firing_threshold
ArpSpoofingDetector,1.0,scan_stealth_12ports,recon,0,
ArpSpoofingDetector,1.0,scan_moderate_25ports,recon,0,
ArpSpoofingDetector,1.0,scan_aggressive_60ports,recon,0,
ArpSpoofingDetector,1.0,scan_ack_25ports,recon,0,
ArpSpoofingDetector,1.0,lb_backend_probe_10ports,recon,0,
ArpSpoofingDetector,1.0,service_inventory_14ports,recon,0,
ArpSpoofingDetector,1.0,browser_session_4ports,recon,0,
ArpSpoofingDetector,1.0,syn_flood_moderate,flood,0,
ArpSpoofingDetector,1.0,syn_flood_heavy,flood,0,
ArpSpoofingDetector,1.0,udp_flood_moderate,flood,0,
ArpSpoofingDetector,1.0,udp_flood_heavy,flood,0,
ArpSpoofingDetector,1.0,icmp_flood_moderate,flood,0,
ArpSpoofingDetector,1.0,icmp_flood_heavy,flood,0,
ArpSpoofingDetector,1.0,busy_web_server_300,flood,0,
ArpSpoofingDetector,1.0,voip_stream_400,flood,0,
ArpSpoofingDetector,1.0,availability_ping_90,flood,0,
ArpSpoofingDetector,1.0,traceroute_burst_30,flood,0,
ArpSpoofingDetector,1.0,ssh_brute_slow_8,credentials,0,
ArpSpoofingDetector,1.0,ssh_brute_fast_40,credentials,0,
ArpSpoofingDetector,1.0,http_brute_slow_12,credentials,0,
ArpSpoofingDetector,1.0,http_brute_fast_60,credentials,0,
ArpSpoofingDetector,1.0,config_mgmt_ssh_14,credentials,0,
ArpSpoofingDetector,1.0,ci_runner_ssh_6,credentials,0,
ArpSpoofingDetector,1.0,sso_portal_18,credentials,0,
ArpSpoofingDetector,1.0,arp_spoof_light_6,arp,1,
ArpSpoofingDetector,1.0,arp_spoof_heavy_30,arp,1,6
ArpSpoofingDetector,1.0,arp_housekeeping_9,arp,0,2
ArpSpoofingDetector,1.0,beacon_5s_30,beaconing,0,
ArpSpoofingDetector,1.0,beacon_30s_18_jittered,beaconing,0,
ArpSpoofingDetector,1.0,beacon_60s_20,beaconing,0,
ArpSpoofingDetector,1.0,telemetry_agent_60s_20,beaconing,0,
ArpSpoofingDetector,1.0,healthcheck_poll_10s_40,beaconing,0,
ArpSpoofingDetector,1.0,human_browsing_burst,beaconing,0,
ArpSpoofingDetector,1.0,dns_tunnel_30q,dns,0,
ArpSpoofingDetector,1.0,dns_tunnel_120q,dns,0,
ArpSpoofingDetector,1.0,cdn_cache_keys_60q,dns,0,
ArpSpoofingDetector,1.0,reputation_lookups_80q,dns,0,
ArpSpoofingDetector,1.0,resolver_busy_300q,dns,0,
ArpSpoofingDetector,1.0,exfil_30mb,exfiltration,0,
ArpSpoofingDetector,1.0,exfil_120mb,exfiltration,0,
ArpSpoofingDetector,1.0,lateral_smb_15,exfiltration,0,
ArpSpoofingDetector,1.0,lateral_smb_40,exfiltration,0,
ArpSpoofingDetector,1.0,backup_upload_60mb,exfiltration,0,
ArpSpoofingDetector,1.0,video_call_25mb,exfiltration,0,
ArpSpoofingDetector,1.0,snmp_poll_18_hosts,exfiltration,0,
ArpSpoofingDetector,1.0,fileserver_clients_30,exfiltration,0,
ArpSpoofingDetector,1.0,backdoor_port_4444,baseline,0,
ArpSpoofingDetector,1.0,irc_client_6667,baseline,0,
ArpSpoofingDetector,1.0,ordinary_traffic,baseline,0,
ArpSpoofingDetector,5.0,scan_stealth_12ports,recon,0,
ArpSpoofingDetector,5.0,scan_moderate_25ports,recon,0,
ArpSpoofingDetector,5.0,scan_aggressive_60ports,recon,0,
ArpSpoofingDetector,5.0,scan_ack_25ports,recon,0,
ArpSpoofingDetector,5.0,lb_backend_probe_10ports,recon,0,
ArpSpoofingDetector,5.0,service_inventory_14ports,recon,0,
ArpSpoofingDetector,5.0,browser_session_4ports,recon,0,
ArpSpoofingDetector,5.0,syn_flood_moderate,flood,0,
ArpSpoofingDetector,5.0,syn_flood_heavy,flood,0,
