detector,parameter,threshold,window_seconds,true_positives,false_positives,false_negatives,true_negatives,precision,recall,false_positive_rate,f1
ArpSpoofingDetector,gratuitous_arp_threshold,2,1.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,3,1.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,4,1.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,5,1.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,6,1.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,8,1.0,0,0,2,47,,0.0,0.0,
ArpSpoofingDetector,gratuitous_arp_threshold,10,1.0,0,0,2,47,,0.0,0.0,
ArpSpoofingDetector,gratuitous_arp_threshold,15,1.0,0,0,2,47,,0.0,0.0,
ArpSpoofingDetector,gratuitous_arp_threshold,25,1.0,0,0,2,47,,0.0,0.0,
ArpSpoofingDetector,gratuitous_arp_threshold,2,5.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,5.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,4,5.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,5,5.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,6,5.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,8,5.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,10,5.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,5.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,5.0,0,0,2,47,,0.0,0.0,
ArpSpoofingDetector,gratuitous_arp_threshold,2,10.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,10.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,4,10.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,5,10.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,6,10.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,8,10.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,10,10.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,10.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,10.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,2,30.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,30.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,4,30.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,5,30.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,6,30.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,8,30.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,10,30.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,30.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,30.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,2,60.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,60.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,4,60.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,5,60.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,6,60.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,8,60.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,10,60.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,60.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,60.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,2,300.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,300.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,4,300.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,5,300.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,6,300.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,8,300.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,10,300.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,300.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,300.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,2,3600.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,3,3600.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,4,3600.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,5,3600.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,6,3600.0,2,1,0,46,0.666667,1.0,0.021277,0.8
ArpSpoofingDetector,gratuitous_arp_threshold,8,3600.0,1,1,1,46,0.5,0.5,0.021277,0.5
ArpSpoofingDetector,gratuitous_arp_threshold,10,3600.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,15,3600.0,1,0,1,47,1.0,0.5,0.0,0.666667
ArpSpoofingDetector,gratuitous_arp_threshold,25,3600.0,1,0,1,47,1.0,0.5,0.0,0.666667
BeaconingDetector,connection_count_threshold,4,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,6,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,8,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,10,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,12,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,15,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,20,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,30,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,45,1.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,4,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,6,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,8,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,10,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,12,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,15,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,20,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,30,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,45,5.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,4,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,6,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,8,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,10,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,12,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,15,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,20,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,30,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,45,10.0,0,0,3,46,,0.0,0.0,
BeaconingDetector,connection_count_threshold,4,30.0,1,0,2,46,1.0,0.333333,0.0,0.5
BeaconingDetector,connection_count_threshold,6,30.0,1,0,2,46,1.0,0.333333,0.0,0.5
